Dataset name: Exchange Rates; Frequency: Daily; Currency: Norwegian krone; Currency denominator: Euro; Exchange rate type: Spot; Series variation - EXR context: Average or standardised measure for given frequency
,EXR.D.NOK.EUR.SP00.A
,"ECB reference exchange rate, Norwegian krone/Euro, 2:15 pm (C.E.T.)"
Period\Unit:,[Norwegian krone ]
2005-01-04,8.2460
2005-01-03,8.2135
2004-12-31,8.2365
2004-12-30,8.2435
2004-12-29,8.2750
2004-12-28,8.2720
2004-12-27,8.2650
2004-12-24,8.2815
2004-12-23,8.2825
2004-12-22,8.2830
2004-12-21,8.2575
2004-12-20,8.2290
2004-12-17,8.2170
2004-12-16,8.1855
2004-12-15,8.2260
2004-12-14,8.2000
2004-12-13,8.2040
2004-12-10,8.2180
2004-12-09,8.2410
2004-12-08,8.2105
2004-12-07,8.1355
2004-12-06,8.1430
2004-12-03,8.1750
2004-12-02,8.1665
2004-12-01,8.1295
2004-11-30,8.1050
2004-11-29,8.0700
2004-11-26,8.1060
2004-11-25,8.1195
2004-11-24,8.1320
2004-11-23,8.1560
2004-11-22,8.1680
2004-11-19,8.1320
2004-11-18,8.1265
2004-11-17,8.1265
2004-11-16,8.0935
2004-11-15,8.0830
2004-11-12,8.1130
2004-11-11,8.1450
2004-11-10,8.1780
2004-11-09,8.2300
2004-11-08,8.1910
2004-11-05,8.1790
2004-11-04,8.1540
2004-11-03,8.1930
2004-11-02,8.1780
2004-11-01,8.1270
2004-10-29,8.1465
2004-10-28,8.1935
2004-10-27,8.1620
2004-10-26,8.2370
2004-10-25,8.2265
2004-10-22,8.2115
2004-10-21,8.2345
2004-10-20,8.2300
2004-10-19,8.2400
2004-10-18,8.2390
2004-10-15,8.2160
2004-10-14,8.1955
2004-10-13,8.2260
2004-10-12,8.1925
2004-10-11,8.2260
2004-10-08,8.3000
2004-10-07,8.2855
2004-10-06,8.2700
2004-10-05,8.2780
2004-10-04,8.2950
2004-10-01,8.3280
2004-09-30,8.3410
2004-09-29,8.3510
2004-09-28,8.3505
2004-09-27,8.3655
2004-09-24,8.3390
2004-09-23,8.3410
2004-09-22,8.3935
2004-09-21,8.3950
